cifar10,4807,1634.48510720267,93.445,90.208934545517
cifar10,15190,1632.33780291911,93.315,90.8901844024658
cifar10,14624,1631.9353550775,93.34,89.1140825748444
cifar10,15089,1633.71636249254,93.455,89.2139160633087
cifar10,9864,1633.19037628005,92.785,90.5913388729095
cifar10,1353,1633.37335183069,92.36,91.1177508831024
cifar10,3134,1634.37730054776,92.7766666666667,89.3838713169098
cifar10,13879,1632.72978605631,92.89,89.1900153160095
cifar10,1668,1633.0563609458,92.3433333333334,88.8062381744385
cifar10,14985,1634.105166014,93.5633333333333,88.4426255226135
cifar100,10778,1631.95327476483,69.45,90.874639749527
cifar100,14574,1633.3806513946,69.3899998657227,88.1888856887817
cifar100,13879,1632.03608390892,69.0599999755859,88.793331861496
cifar100,15089,1632.64984022674,70.4899999023438,86.2508902549744
cifar100,2564,1632.71938959822,69.4533333333333,86.8192667961121
cifar100,3174,1632.71939118254,70.040000004069,92.2058887481689
cifar100,7254,1634.56355104408,70.1799999267578,84.9807107448578
cifar100,12673,1633.3773242003,64.4599999938965,89.6473660469055
cifar100,2018,1625.52605546814,72.3599999511719,88.4943640232086
cifar100,1668,1633.48828119217,69.1666666402181,85.9331514835358
ImageNet16-120,4135,1453.90411179578,45.383333190918,79.44664311409
ImageNet16-120,9385,1452.02921053065,42.883333307902,77.8229517936707
ImageNet16-120,8085,1450.86259421136,43.6333332468669,77.8039963245392
ImageNet16-120,9908,1451.45327274253,44.2499998931885,76.4503071308136
ImageNet16-120,2720,1452.5063156671,45.5666665852865,78.4078214168549
ImageNet16-120,1217,1450.6958178367,43.2666665445964,79.0471482276917
ImageNet16-120,14574,1451.68418614251,44.0833332010905,77.3309254646301
ImageNet16-120,2720,1451.06384529935,45.5666665852865,78.8388521671295
ImageNet16-120,12673,1454.31048418559,34.9166666208903,78.3238217830658
ImageNet16-120,14604,1451.40187154371,42.4833332926432,77.216991186142
