Dataset,mean,std,mean,std,mean,std
ImageNet16-120,131.7982701759325,0.40600180975269523,46.343888855997726,0.011843169581964085,93.24117305278779,8.633886301563827
cifar10,133.8933798865807,0.3436583433739663,94.19916666666668,0.35901721991783747,74.72032806873321,8.715384612600694
cifar100,135.8010571025083,0.31213960321881196,73.43666659098308,0.16254914461932402,76.88087577819825,9.967798582950559
